Ranked Venues - Kohl's / Alabama - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"Kohl's / 845 Schillinger Rd S, Mobile, AL, United States",248852,456335,30.67235579281582,-88.2238253161681
2,"Kohl's / 7630 Highway 72 West, Madison, AL, United States",248664,398543,34.75772346364837,-86.73480746060757
3,"Kohl's / 5513 Grove Blvd, Hoover, AL, United States",249049,306940,33.36316904449146,-86.85135968999998
4,"Kohl's / 2430 Berryhill Rd, Montgomery, AL, United States",248797,305495,32.35705412983788,-86.1609426301743
5,"Kohl's / 1100 Inverness Cors, Birmingham, AL, United States",248721,304749,33.41590488981978,-86.69663381465159
6,"Kohl's / 350 Seville Street, St. Florian, Alabama, United States",248855,295230,34.83825981147719,-87.62680622559668
7,"Kohl's / 4401 Montgomery Hwy Ste 200, Dothan, AL, United States",248954,292021,31.264354917033486,-85.44350515794636
8,"Kohl's / 1460 Cotton Exchange, Prattville, AL, United States",249050,273578,32.45809760931153,-86.40778540325259
9,"Kohl's / Trussville Crossings Blvd, Trussville, Alabama, United States",248722,271885,33.64559766543531,-86.62720517566136
10,"Kohl's / 2774 Enterprise Dr, Opelika, AL, United States",249021,261396,32.615439817538,-85.40988810495563
11,"Kohl's / 1600 Oxford Exchange Blvd, Oxford, AL, United States",249023,259798,33.6092939929124,-85.77819615127942
12,"Kohl's / 2775 Carl T Jones Dr SE, Huntsville, AL, United States",249122,245017,34.675016323009146,-86.53897007847206
13,"Kohl's / 2407 6th Ave SE, Decatur, AL, United States",331804,210262,34.56407289700318,-86.97511564108436
14,"Kohl's / 21000 Town Center Ave, Spanish Fort, AL, United States",248970,181518,30.662504281868046,-87.905589191248
