Ranked Venues - The Home Depot / Tennessee - Total - Sep 01, 2021 - Aug 31, 2022
Rank,Name,Store ID,Total Visits,lat,lng
1,"The Home Depot / 1750 Old Fort Pkwy, Murfreesboro, TN, United States",0707,1089643,35.84960209278842,-86.42294612669104
2,"The Home Depot / 9361 Kingston Pike, Knoxville, TN, United States",730,1070993,35.91189741702947,-84.09575466906857
3,"The Home Depot / 2751 Schaad Road, Knoxville, TN, United States",0728,938598,36.005067182746714,-84.02223618352576
4,"The Home Depot / 2535 Powell Ave, Nashville, TN, United States",0732,924978,36.10685924256746,-86.7665495762721
5,"The Home Depot / 943 Foot Hills Mall Dr, Maryville, TN, United States",0724,879897,35.754338631785174,-83.99604443132756
6,"The Home Depot / 4710 Centerline Drive, Knoxville, TN, United States",0731,846180,36.02782303294622,-83.88283374641317
7,"The Home Depot / 800 Truse Road, Memphis, TN, United States",0703,807852,35.108983984732156,-89.89236206669736
8,"The Home Depot / 8010 Giacosa Place, Memphis, TN, United States",0704,795451,35.19966815229474,-89.7962510688428
9,"The Home Depot / 8101 Moores Lane, Brentwood, TN, United States",0723,767269,35.96299700329216,-86.80599853755976
10,"The Home Depot / 175 Laboratory Rd, Oak Ridge, TN, United States",0736,766007,36.027253997880955,-84.23021037009538
11,"The Home Depot / 7421 Commons Blvd, Chattanooga, TN, United States",742,758064,35.03604583083638,-85.14664546604214
12,"The Home Depot / 250 Abbie Drive, Lenoir City, TN, United States",0740,743464,35.8199613025982,-84.26295926066683
13,"The Home Depot / 7665 Highway 70 South, Nashville, TN, United States",722,734618,36.07664555329325,-86.95395350439533
14,"The Home Depot / 1155 Bell Rd, Antioch, TN, United States",721,714602,36.04634523790679,-86.66631452307664
15,"The Home Depot / 1944 Northpoint Blvd, Hixson, TN, United States",0770,711270,35.13695575953683,-85.24343947600279
16,"The Home Depot / 1627 Poplar Avenue, Memphis, TN, United States",8916,691375,35.140318554825974,-90.00662388477163
17,"The Home Depot / 224 S Royal Oaks Blvd, Franklin, TN, United States",0734,691063,35.91021651742884,-86.8275539761031
18,"The Home Depot / 4950 Stage Road, Memphis, TN, United States",0737,687144,35.20894109136659,-89.89965301363921
19,"The Home Depot / 546 Paul Huff Pkwy NW, Cleveland, TN, United States",743,681329,35.21169303240697,-84.85446112242526
20,"The Home Depot / 2630 Wilma Rudolph Blvd, Clarksville, TN, United States",0726,679421,36.58185479823915,-87.3009942338587
21,"The Home Depot / 1015 Joyce Lane, Nashville, TN, United States",0778,678499,36.2349418216421,-86.72830887499266
22,"The Home Depot / 1930 W Andrew Johnson, Morristown, TN, United States",0744,671589,36.210084227181824,-83.31812090649771
23,"The Home Depot / 551 President Place, Smyrna, TN, United States",0776,599883,35.98112597064841,-86.55194947401631
24,"The Home Depot / 5411 Columbia Pike, Spring Hill, TN, United States",0775,597353,35.747360819774734,-86.93908835780685
25,"The Home Depot / 128 Allensville Road, Sevierville, TN, United States",0739,594799,35.878367160272866,-83.56708179091153
26,"The Home Depot / 5010 Old Hickory Blvd, Hermitage, TN, United States",0733,577250,36.19407703694976,-86.61485017101761
27,"The Home Depot / 205 N Anderson Lane, Hendersonville, TN, United States",0735,570261,36.317976911829064,-86.59873567287646
28,"The Home Depot / 955 S Hartman Drive, Lebanon, TN, United States",0745,551001,36.18604934278028,-86.32185091484814
29,"The Home Depot / 3469 Riverdale Rd, Memphis, TN, United States",0725,549666,35.05397377275381,-89.83155454164411
30,"The Home Depot / 3207 Peoples Street, Johnson City, TN, United States",0701,542085,36.3475292309,-82.39837037538351
31,"The Home Depot / 1120 Vann Drive, Jackson, TN, United States",0727,536823,35.6657970586483,-88.85638850684059
32,"The Home Depot / 345 Market Blvd, Collierville, TN, United States",729,523418,35.04990691454324,-89.69644457964453
33,"The Home Depot / 1584 Gallatin Pike N, Madison, TN, United States",0720,459720,36.2931613413936,-86.704652
34,"The Home Depot / 2000 Harrell Rd, Kingsport, TN, United States",0702,458588,36.55531954213704,-82.53244097694022
35,"The Home Depot / 1451 W College St, Pulaski, TN, United States",772,455324,35.20019725661421,-87.05838831170604
36,"The Home Depot / 110 Holly Grove Road, Covington, TN, United States",779,402551,35.54448628161244,-89.66793095877784
37,"The Home Depot / 2965 Decherd Blvd, Winchester, TN, United States",747,388492,35.221408230817936,-86.1043147996398
38,"The Home Depot / 187 Roberts Blvd, Manchester, TN, United States",748,357006,35.4518526994541,-86.04351830674742
39,"The Home Depot / 140 Green Road, Knoxville, TN, United States",0773,346625,35.91337195072241,-83.84598048663212
